x,y
0.0,-32.633785
0.1,-63.054813
0.2,-91.32012
0.3,-117.41347
0.4,-141.31859
0.5,-163.01923
0.6,-182.49915
0.7,-199.74207
0.8,-214.73177
0.90000004,-227.45197
1.0,-237.88643
1.1,-246.01889
1.2,-251.8331
1.3000001,-255.3128
1.4,-256.44174
1.5,-255.20369
1.6,-251.58235
1.7,-245.56151
1.8000001,-237.12488
1.9,-226.25624
2.0,-212.93932
2.1000001,-197.15784
2.2,-178.89561
2.3,-158.13634
2.4,-134.86374
2.5,-109.06163
2.6000001,-80.71367
2.7,-49.803715
2.8,-16.31546
2.9,19.767439
3.0,58.461067
3.1000001,99.78185
3.2,143.74586
3.3,190.36945
3.4,239.66898
3.5,291.66046
3.6000001,346.3604
3.7,403.78482
3.8,463.95007
3.9,526.87256
4.0,592.56824
4.1,661.0535
4.2000003,732.34503
4.3,806.4583
4.4,883.4099
4.5,963.2161
4.6,1045.8932
4.7000003,1131.4579
4.8,1219.9254
4.9,1311.3127
5.0,1405.6359
5.1,1502.911
5.2000003,1603.1552
5.3,1706.3834
5.4,1812.6127
5.5,1921.8589
5.6,2034.1387
5.7000003,2149.4685
5.8,2267.864
5.9,2389.3413
6.0,2513.9172
6.1,2641.6077
6.2000003,2772.43
6.3,2906.3984
6.4,3043.5305
6.5,3183.8423
6.6,3327.35
6.7000003,3474.0708
6.8,3624.019
6.9,3777.2122
7.0,3933.666
7.1,4093.3972
7.2000003,4256.423
7.3,4422.7573
7.4,4592.4175
7.5,4765.42
7.6,4941.7812
7.7000003,5121.5176
7.8,5304.6445
7.9,5491.178
8.0,5681.1357
8.1,5874.534
8.2,6071.386
8.3,6271.713
8.400001,6475.528
8.5,6682.845
8.6,6893.686
8.7,7108.062
8.8,7325.9937
8.900001,7547.495
9.0,7772.58
9.1,8001.27
9.2,8233.576
9.3,8469.519
9.400001,8709.113
9.5,8952.372
9.6,9199.317
9.7,9449.959
9.8,9704.32
9.900001,9962.413
